,name,lii,bii,vmag,ra_deg,dec_deg,cluster_id
0,HIP 32349 ,227.22815779,-8.88779558,-1.44,101.28854105,-16.71314306,66
1,HIP 30438 ,261.21214468,-25.29226591,-0.62,95.98787763,-52.69571799,42
2,HIP 69673 ,15.06557465,69.11106446,-0.05,213.91811403,19.18726997,27
3,HIP 71683 ,315.74187416,-0.68433035,-0.01,219.92041034,-60.83514707,43
4,HIP 91262 ,67.44733175,19.2374773,0.03,279.23410832,38.78299311,64
5,HIP 24608 ,162.58751093,4.56687618,0.08,79.17206517,45.99902927,45
6,HIP 24436 ,209.24117611,-25.24535458,0.18,78.63446353,-8.20163919,0
7,HIP 37279 ,213.70072119,13.02207719,0.4,114.82724194,5.22750767,74
8,HIP 7588  ,290.84155953,-58.79216904,0.45,24.42813204,-57.23666007,11
9,HIP 27989 ,199.78721933,-8.95867806,0.45,88.79287161,7.40703634,38
10,HIP 68702 ,311.76704683,1.2511382,0.61,210.95601898,-60.3729784,43
11,HIP 97649 ,47.74264325,-8.90851144,0.76,297.6945086,8.86738491,31
12,HIP 60718 ,300.12665198,-0.36267855,0.77,186.64975585,-63.09905586,10
13,HIP 21421 ,180.97141589,-20.24813802,0.87,68.98000195,16.50976164,67
14,HIP 65474 ,316.11251996,50.84460823,0.98,201.2983523,-11.16124491,36
15,HIP 80763 ,351.94719252,15.06434,1.06,247.35194804,-26.43194608,50
16,HIP 37826 ,192.22971628,23.40773894,1.16,116.33068263,28.02631031,51
17,HIP 113368,20.48903611,-64.90879067,1.17,344.41177323,-29.62183701,82
18,HIP 62434 ,302.46235393,3.1796283,1.25,191.93049537,-59.68873246,81
19,HIP 102098,84.28472155,1.99754804,1.25,310.3579727,45.28033423,28
20,HIP 71681 ,315.73732398,-0.687045,1.35,219.91412833,-60.83947139,43
21,HIP 49669 ,226.42778996,48.9347352,1.36,152.09358075,11.96719513,9
22,HIP 33579 ,239.83105318,-11.32976265,1.5,104.65644451,-28.97208931,66
23,HIP 36850 ,187.44078981,22.47981947,1.58,113.65001898,31.88863645,51
24,HIP 61084 ,300.16908221,5.65038961,1.59,187.79137202,-57.11256922,58
25,HIP 85927 ,351.74442843,-2.21434091,1.62,263.40219373,-37.10374835,16
